Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Methyl stearate,6.835e-7,4.8534000000000005e-33,3.5379e-57,1.0871e-71,1.1304e-42,2.579e-57,-4.0352999999999996e-32,5.6829e-6,1.6588e-76,5.1525e-62,90.0,250.0,NaN
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",6.9714e-5,1.3974e-76,1.3140000000000001e-71,5.8874e-62,9.1622e-72,1.398e-76,2.9841e-68,0.00057963,1.398e-76,1.1076e-47,90.0,250.0,NaN
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",3.3128e-8,8.0543e-96,3.8457e-86,1.0577e-153,1.0577e-153,5.4704000000000004e-95,8.734e-83,2.7544e-7,5.4726e-95,1.0577e-153,90.0,250.0,NaN
"cis-11,14,17-Eicosatrienoic acid methyl ester",1.9959e-7,6.375499999999999e-67,1.5345e-52,1.0401e-42,2.9013000000000003e-57,8.162899999999999e-43,3.485e-49,1.6595e-6,2.5265999999999998e-52,1.0301000000000002e-71,90.0,250.0,NaN
"cis-8,11,14-Eicosatrienoic acid methyl ester",7.1299e-7,1.2577e-76,2.5777000000000004e-57,4.755e-38,2.5777000000000004e-57,1.3036e-76,5.8542e-54,5.9281e-6,1.3036e-76,4.755e-38,90.0,250.0,NaN
"cis-11,14-Eicosadienoic acid methyl ester",1.1281e-6,2.5789000000000004e-57,3.2527e-86,3.2425e-86,3.2425e-86,7.0021e-77,-2.1442e-56,9.3795e-6,6.9919e-77,3.2425e-86,90.0,250.0,NaN
Methyl cis-11-eicosenoate,Inf,1.3974e-76,1.8046e-153,1.8369999999999998e-23,1.5206e-47,3.1193000000000004e-33,-1.1618e-75,Inf,5.353099999999999e-38,1.6709e-23,90.0,250.0,NaN
Methyl arachidate,1.9203e-6,9.6258e140,8.9734e-67,2.5845000000000004e-57,1.0867000000000001e-71,8.9763e-67,-8.0034e141,1.5966e-5,3.0569e-57,4.673e-62,90.0,250.0,NaN
Methyl heneicosanoate,8.985e-7,1.1426000000000002e-71,8.604299999999999e-43,1.1071e-47,1.3036e-76,1.3036e-76,1.9541e-39,7.4705e-6,3.2527e-86,1.1071e-47,90.0,250.0,NaN
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",9.6545e-7,3.2527e-86,3.2527e-86,3.2425e-86,7.002e-77,6.997e-77,7.3601e-83,8.0272e-6,1.3589e-153,3.2425e-86,90.0,250.0,NaN
"cis-13,16-Docosadienoic acid methyl ester",7.467e-9,1.5063e-153,1.508e-153,4.7665e-38,1.4269e-71,2.1783e-76,3.4123999999999996e-150,6.2084e-8,4.0158e-57,1.92e-23,90.0,250.0,NaN
Methyl erucate,1.3523e-7,9.9531e-43,6.124800000000001e-62,2.2133999999999998e-52,1.6571e-76,3.0569e-57,-8.2754e-42,1.1244e-6,1.6571e-76,8.979199999999999e-67,90.0,250.0,NaN
Methyl-Docosanoat,4.5953e-7,8.604299999999999e-43,2.1483e-151,1.3036e-76,1.3035e-76,3.2527e-86,-7.154e-42,3.8207e-6,3.2527e-86,2.5777000000000004e-57,90.0,250.0,NaN
Methyl tricosanoate,1.3561e-8,3.2527e-86,2.5808000000000004e-57,6.997e-77,1.1766e-47,1.7318e-153,5.8612e-54,1.1275e-7,7.126e-67,3.2425e-86,90.0,250.0,NaN
Methyl nervonate,6.3119e-7,1.6572e-153,1.3036e-76,1.0869e-71,1.3129e-47,4.6592e-33,2.9605e-73,5.248e-6,3.4389e179,4.7665e-38,90.0,250.0,NaN
Methyl lignocerate,2.0253e-6,1.5708e-76,7.0037e-77,7.117299999999999e-67,1.3035e-76,3.9332e-62,1.5775e-73,1.6839e-5,6.0017e-67,1.2453e-47,90.0,250.0,NaN
1-Pentanol,Inf,6.8864e-24,2.1756e-76,3.2527e-86,6.9919e-77,1.2577e-76,-5.7257e-23,Inf,3.2425e-86,1.3036e-76,90.0,250.0,NaN
1-Heptanol,Inf,1.314e-47,6.0017e-67,1.5066e-153,5.055799999999999e-38,9.745999999999999e-72,-1.0925e-46,Inf,1.8064e-153,6.9953e-77,90.0,250.0,NaN
1-Nonanol,3.2778e-6,6.746399999999999e-67,3.2425e-86,1.1435000000000002e-71,1.1079e-47,6.004599999999999e-67,-5.6093e-66,2.7253e-5,9.5116e-43,1.4858e-76,90.0,250.0,NaN
1-Decanol,8.2274e-5,1.3035e-76,3.12e-33,5.541599999999999e257,2.1472e243,1.0577e-153,1.4376e226,0.00068406,2.1472e243,5.5622e180,90.0,250.0,NaN
1-Undecanol,5.3764e-6,1.7546e-23,4.761899999999999e-38,2.1953e-152,1.1444999999999999e243,1.4391e252,-1.4589e-22,4.4702e-5,1.1444999999999999e243,6.1333e-154,90.0,250.0,NaN
"2-Pentanone, 4-methyl-",1.2094e-6,1.2560000000000002e-71,2.1472e243,9.195799999999999e170,1.2304e224,6.388e29,Inf,7.0457e246,1.2304e224,4.452e252,90.0,250.0,-5.8497e-315
2-Hexanone,1.6546e-5,1.3129e-47,1.1444999999999999e243,1.1756999999999998e214,3.1108e161,1.816e-152,Inf,4.6999000000000005e246,3.1108e161,4.2614e257,90.0,250.0,-1.1472e-290
2-Decanone,1.9067e-6,1.3035e-76,1.2304e224,2.5697e161,3.0840000000000003e242,6.0139e-154,Inf,3.8123e227,3.0840000000000003e242,3.452e175,90.0,250.0,-1.0595e-300
2-Undecanone,2.0445e-6,1.0580000000000001e141,3.1108e161,5.7095e228,2.974e222,6.9641e252,Inf,1.365e165,2.974e222,1.6766e243,90.0,250.0,-3.4011e-21
2-Dodecanone,3.9808e-6,1.0589e-153,3.0840000000000003e242,4.4761e-91,4.515e-91,4.0667999999999996e223,7.0041e245,1.6949e244,4.515e-91,4.4759e-91,90.0,250.0,-0.0
2-Tridecanone,2.7633e-6,6.0135e-154,2.974e222,4.4681e-91,2.4738e-91,6.0325e-154,6.754200000000001e225,1.6345e224,2.4738e-91,4.4759e-91,90.0,250.0,-0.0
2-Pentadecanone,2.4037e-6,4.8241e228,4.515e-91,4.4759e-91,4.4759e-91,4.4759e-91,-4.011e229,1.9985e-5,4.4759e-91,4.4759e-91,90.0,250.0,NaN
Propiophenone,Inf,1.2804e-152,2.4738e-91,2.4738e-91,6.0135e-154,1.088e-153,5.6182e-88,Inf,6.0135e-154,4.4681e-91,90.0,250.0,NaN
Butyrophenone,3.1315e-6,3.2927e180,4.4759e-91,4.4759e-91,4.4759e-91,4.4759e-91,-2.7377e181,2.6037e-5,4.4759e-91,4.4759e-91,90.0,250.0,NaN
Valerophenone,0.00073789,1.757e-152,6.0135e-154,1.1371e-94,4.0739999999999997e223,4.4759e-91,1.2196e-150,0.0061352,4.0739999999999997e223,1.0602e-153,90.0,250.0,NaN
Hexanophenone,1.6786e-6,4.4759e-91,4.4759e-91,3.5772000000000003e-57,2.2311999999999998e-46,2.2089e161,1.0128e-87,1.3957e-5,2.2311999999999998e-46,2.2417e131,90.0,250.0,NaN
Heptanophenone,4.2183e-6,4.4759e-91,4.0739999999999997e223,7.5599e-315,5.3584e228,6.4063e29,9.252500000000001e226,2.239e225,5.3584e228,4.4759e-91,90.0,250.0,-1.0987e-314
Octanophenone,Inf,4.4759e-91,2.2311999999999998e-46,6.7519e-314,160.01,6.053099999999999e-307,5.0673e-43,Inf,1.9353e-312,4.4759e-91,90.0,250.0,NaN
