Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3
2-Nonanone,821-55-6,DB5ms,123.58,29.772,70.058,0.001,Boswell2012,ketone,alkanones,
C11,1120-21-4,DB5ms,124.9,29.549,66.526,0.001,Boswell2012,alkane,Grob,alkanes
Linalool,78-70-6,DB5ms,125.54,30.17,72.207,0.001,Boswell2012,allergenic fragrances,terpene,alcohol
Tert-butylpyridine,585-48-8,DB5ms,126.93,32.122,64.322,0.001,Boswell2012,,,
Octanoic acid,124-07-2,DB5ms,133.66,28.759,105.31,0.001,Boswell2012,,,
Propiophenone ,93-55-0,DB5ms,138.96,32.312,68.595,0.001,Boswell2012,phenone,phenones,
4-Ethylaniline,589-16-2,DB5ms,139.39,32.458,69.125,0.001,Boswell2012,anilines,,
2-Decanone,693-54-9,DB5ms,140.45,30.5,75.991,0.001,Boswell2012,ketone,alkanones,
C12,112-40-3,DB5ms,141.47,30.259,71.241,0.001,Boswell2012,alkane,alkanes,
Octyl acetate,112-14-1,DB5ms,142.41,29.998,79.426,0.001,Boswell2012,carboxylate esters,,
Naphthalene,91-20-3,DB5ms,145.55,34.572,59.24,0.001,Boswell2012,PAH,,
Resorcinol,108-46-3,DB5ms,152.7,30.999,110.36,0.001,Boswell2012,,,
Butyrophenone ,495-40-9,DB5ms,153.16,32.9,66.298,0.001,Boswell2012,phenone,phenones,
2-Undecanone,112-12-9,DB5ms,156.26,31.24,81.755,0.001,Boswell2012,ketone,alkanones,
C13,629-50-5,DB5ms,156.9,30.894,80.347,0.001,Boswell2012,alkane,alkanes,
Indole,120-72-9,DB5ms,160.32,34.144,74.445,0.001,Boswell2012,,,
Decanoic acid ,334-48-5,DB5ms,164.33,30.685,102.49,0.001,Boswell2012,,,
Benzamide,55-21-0,DB5ms,164.51,33.99,82.916,0.001,Boswell2012,,,
Valerophenone ,1009-14-9,DB5ms,168.74,33.507,72.384,0.001,Boswell2012,phenone,phenones,
Nicotine,22083-74-5,DB5ms,168.95,34.765,71.153,0.001,Boswell2012,,,
4-Butylaniline,104-13-2,DB5ms,170.45,33.871,74.222,0.001,Boswell2012,anilines,,
2-Dodecanone,6175-49-1,DB5ms,171.28,31.857,76.888,0.001,Boswell2012,ketone,alkanones,
C14,629-59-4,DB5ms,171.64,31.484,76.299,0.001,Boswell2012,alkane,alkanes,
Decyl acetate,112-17-4,DB5ms,172.29,31.288,83.719,0.001,Boswell2012,carboxylate esters,,
Hexanophenone,942-92-7,DB5ms,183.49,34.016,74.216,0.001,Boswell2012,phenone,phenones,
Coumarin,91-64-5,DB5ms,183.72,36.251,65.422,0.001,Boswell2012,allergenic fragrances,,
2-Tridecanone,593-08-8,DB5ms,185.04,32.362,88.653,0.001,Boswell2012,ketone,alkanones,
C15,629-62-9,DB5ms,185.17,32.005,84.611,0.001,Boswell2012,alkane,alkanes,
1-Naphthol,90-15-3,DB5ms,191.6,36.024,91.421,0.001,Boswell2012,,,
Nikethamide,59-26-7,DB5ms,194.27,35.177,84.675,0.001,Boswell2012,,,
Heptanophenone ,1671-75-6,DB5ms,197.12,34.524,82.695,0.001,Boswell2012,phenone,phenones,
C16,544-76-3,DB5ms,198.13,32.383,85.559,0.001,Boswell2012,alkane,alkanes,
4-Hexylaniline,33228-45-4,DB5ms,198.6,34.89,84.816,0.001,Boswell2012,anilines,,
Benzocaine,94-09-7,DB5ms,198.82,35.055,88.436,0.001,Boswell2012,,,
4-Nitroaniline,100-01-6,DB5ms,204.12,36.824,82.672,0.001,Boswell2012,,,
Diphenylamine,122-39-4,DB5ms,206.26,36.275,86.257,0.001,Boswell2012,,,
Octanophenone ,1674-37-9,DB5ms,210.1,34.93,91.909,0.001,Boswell2012,phenone,phenones,
C17,629-78-7,DB5ms,210.13,32.723,92.907,0.001,Boswell2012,alkane,alkanes,
2-Pentadecanone,2345-28-0,DB5ms,210.52,33.201,93.15,0.001,Boswell2012,ketone,alkanones,
Tri-n-hexylamine ,102-86-3,DB5ms,213.84,33.198,101.38,0.001,Boswell2012,,,
C18,593-45-3,DB5ms,221.6,33.074,101.27,0.001,Boswell2012,alkane,alkanes,
4-Octylaniline,16245-79-7,DB5ms,223.94,35.74,97.637,0.001,Boswell2012,anilines,,
Anthracene,120-12-7,DB5ms,231.94,40.07,76.365,0.001,Boswell2012,PAH,,
Caffeine,58-08-2,DB5ms,232.6,37.765,94.912,0.001,Boswell2012,,,
C19,629-92-5,DB5ms,232.62,33.488,105.68,0.001,Boswell2012,alkane,alkanes,
Indole-3-acetic acid ethyl ester,778-82-5,DB5ms,235.2,36.693,100.54,0.001,Boswell2012,,,
Lidocaine,137-58-6,DB5ms,236.13,36.909,92.941,0.001,Boswell2012,,,
C20,112-95-8,DB5ms,243.08,33.815,112.77,0.001,Boswell2012,alkane,alkanes,
4-Decylaniline,37529-30-9,DB5ms,246.83,36.465,106.73,0.001,Boswell2012,anilines,,
Triphenylmethane,519-73-3,DB5ms,250.04,38.249,94.178,0.001,Boswell2012,,,
C21,629-94-7,DB5ms,253.07,34.136,118.95,0.001,Boswell2012,alkane,alkanes,
C22,629-97-0,DB5ms,262.63,34.426,125.23,0.001,Boswell2012,alkane,alkanes,
4-Dodecylaniline,104-42-7,DB5ms,267.6,37.02,116.51,0.001,Boswell2012,anilines,,
Dextromethorphan,125-71-3,DB5ms,268.23,40.017,99.94,0.001,Boswell2012,,,
Tri-n-octylamine ,1116-76-3,DB5ms,271.08,34.833,129.45,0.001,Boswell2012,,,
C23,638-67-5,DB5ms,271.8,34.71,131.64,0.001,Boswell2012,alkane,alkanes,
C24,646-31-1,DB5ms,280.59,34.975,137.54,0.001,Boswell2012,alkane,alkanes,
C25,629-99-2,DB5ms,289.05,35.214,142.53,0.001,Boswell2012,alkane,alkanes,
C26,630-01-3,DB5ms,297.19,35.446,147.26,0.001,Boswell2012,alkane,alkanes,
C28,630-02-4,DB5ms,312.58,35.826,154.82,0.001,Boswell2012,alkane,alkanes,
Tri-n-decylamine,1070-01-5,DB5ms,316.75,35.777,151.16,0.001,Boswell2012,,,
C30,638-68-6,DB5ms,326.91,36.139,161.78,0.001,Boswell2012,alkane,alkanes,
C32,544-85-4,DB5ms,340.33,36.462,171.34,0.001,Boswell2012,alkanes,,
C34,14167-59-0,DB5ms,352.42,36.343,171.71,0.001,Boswell2012,alkanes,,
C36,630-06-8,DB5ms,364.2,36.576,181.85,0.001,Boswell2012,alkanes,,
Methyl butyrate,623-42-7,Rxi17SilMS,49.699,25.139,82.71,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
4-Methyl-2-pentanone,108-10-1,Rxi17SilMS,56.791,28.996,90.281,0.001,Brehmer2022,ketone,,
Pentanol,71-41-0,Rxi17SilMS,58.934,26.919,189.66,0.001,Brehmer2022,alcohol,alcohols,
Toluene,108-88-3,Rxi17SilMS,60.799,28.234,70.101,0.001,Brehmer2022,BTEX,,
2-Hexanone,591-78-6,Rxi17SilMS,69.311,27.747,183.88,0.001,Brehmer2022,ketone,alkanones,
Hexan-1-ol,111-27-3,Rxi17SilMS,77.98,26.825,116.18,0.001,Brehmer2022,alcohol,alcohols,
Ethylbenzene,100-41-4,Rxi17SilMS,81.076,29.203,92.253,0.001,Brehmer2022,BTEX,aromatic,
m-Xylene,108-38-3,Rxi17SilMS,82.057,29.116,76.562,0.001,Brehmer2022,BTEX,,
p-Xylene,106-42-3,Rxi17SilMS,82.057,29.116,76.562,0.001,Brehmer2022,BTEX,,
Chlorobenzene,108-90-7,Rxi17SilMS,82.793,29.922,84.973,0.001,Brehmer2022,aromatic,,
2-Heptanone,110-43-0,Rxi17SilMS,85.535,27.024,113.81,0.001,Brehmer2022,ketone,alkanones,
Heptan-2-one,110-43-0,Rxi17SilMS,85.535,27.024,113.81,0.001,Brehmer2022,ketone,alkanones,
n-Heptanal,111-71-7,Rxi17SilMS,87.462,27.489,112.17,0.001,Brehmer2022,aldehyde,,
o-Xylene,95-47-6,Rxi17SilMS,89.046,29.889,70.688,0.001,Brehmer2022,BTEX,aromatic,
"1,2-Dimethylbenzene",95-47-6,Rxi17SilMS,89.046,29.889,70.688,0.001,Brehmer2022,BTEX,aromatic,
Methyl hexanoate,106-70-7,Rxi17SilMS,89.321,27.033,96.702,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Cyclohexanol,108-93-0,Rxi17SilMS,90.044,29.425,88.676,0.001,Brehmer2022,alcohol,,
Styrene,100-42-5,Rxi17SilMS,91.666,29.76,94.467,0.001,Brehmer2022,aromatic,,
Heptanol,111-70-6,Rxi17SilMS,98.42,30.458,197.86,0.001,Brehmer2022,alcohol,alcohols,
Octan-2-ol,123-96-6,Rxi17SilMS,99.505,27.994,108.59,0.001,Brehmer2022,alcohol,,
Cyclohexanone,108-94-1,Rxi17SilMS,101.2,30.848,84.809,0.001,Brehmer2022,ketone,,
2-Octanone,111-13-7,Rxi17SilMS,103.35,28.229,110.03,0.001,Brehmer2022,ketone,alkanones,
Bromobenzene,108-86-1,Rxi17SilMS,104.09,31.987,80.197,0.001,Brehmer2022,aromatic,,
n-Octanal,124-13-0,Rxi17SilMS,105.34,28.314,115.11,0.001,Brehmer2022,aldehyde,,
Phenol,108-95-2,Rxi17SilMS,113.06,30.654,93.668,0.001,Brehmer2022,aromatic,,
Octan-1-ol,111-87-5,Rxi17SilMS,114.37,28.935,108.34,0.001,Brehmer2022,alcohol,Grob,alcohols
"1,3-Dichlorobenzene",541-73-1,Rxi17SilMS,115.8,32.562,78.486,0.001,Brehmer2022,aromatic,,
2-Chlorophenol,95-57-8,Rxi17SilMS,115.88,32.649,84.209,0.001,Brehmer2022,aromatic,,
Benzaldehyde,100-52-7,Rxi17SilMS,116.25,31.746,86.447,0.001,Brehmer2022,allergenic fragrances,aldehyde,aromatic
n-Butylbenzene,104-51-8,Rxi17SilMS,116.35,30.927,91.572,0.001,Brehmer2022,aromatic,,
Linalool,78-70-6,Rxi17SilMS,120.04,29.354,103.32,0.001,Brehmer2022,allergenic fragrances,terpene,alcohol
2-Nonanone,821-55-6,Rxi17SilMS,120.2,29.002,105.6,0.001,Brehmer2022,ketone,alkanones,
Nonan-2-one,821-55-6,Rxi17SilMS,120.2,29.002,105.6,0.001,Brehmer2022,ketone,alkanones,
Aniline,62-53-3,Rxi17SilMS,121.66,32.029,89.058,0.001,Brehmer2022,aromatic,amine,anilines
n-Nonanal,124-19-6,Rxi17SilMS,122.12,29.187,103.98,0.001,Brehmer2022,aldehyde,Grob,
Methyl octanoate,111-11-5,Rxi17SilMS,122.96,28.639,107.6,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
"1,2-Dichlorobenzene",95-50-1,Rxi17SilMS,124.28,33.276,73.739,0.001,Brehmer2022,aromatic,,
4-Fluoroaniline,371-40-4,Rxi17SilMS,124.39,31.726,99.509,0.001,Brehmer2022,aromatic,amine,
2-Methylphenol,95-48-7,Rxi17SilMS,126.96,31.703,99.547,0.001,Brehmer2022,aromatic,,
Benzyl alcohol,100-51-6,Rxi17SilMS,128.55,32.027,94.27,0.001,Brehmer2022,allergenic fragrances,alcohol,aromatic
Phenyl acetate,122-79-2,Rxi17SilMS,130.06,30.902,95.94,0.001,Brehmer2022,ester,aromatic,
3-Methylphenol,108-39-4,Rxi17SilMS,130.37,31.593,96.071,0.001,Brehmer2022,aromatic,,
4-Methylphenol,106-44-5,Rxi17SilMS,130.58,31.808,101.45,0.001,Brehmer2022,aromatic,,
1-Phenyl ethanol,98-85-1,Rxi17SilMS,130.84,31.907,94.451,0.001,Brehmer2022,alcohol,aromatic,
Nonanol,143-08-8,Rxi17SilMS,133.6,32.935,165.13,0.001,Brehmer2022,alcohol,alcohols,
Acetophenone,98-86-2,Rxi17SilMS,135.77,32.483,89.831,0.001,Brehmer2022,aromatic,ketone,phenones
Methyl benzoate,93-58-3,Rxi17SilMS,136.74,32.209,89.138,0.001,Brehmer2022,ester,aromatic,
"2,6-Dimethylphenol",576-26-1,Rxi17SilMS,138.07,32.804,91.757,0.001,Brehmer2022,aromatic,Grob,
2-Decanone,693-54-9,Rxi17SilMS,139.58,33.934,177.88,0.001,Brehmer2022,ketone,alkanones,
Nitrobenzene,98-95-3,Rxi17SilMS,142.41,33.845,78.903,0.001,Brehmer2022,aromatic,,
1-Phenyl-2-propanol,698-87-3,Rxi17SilMS,142.5,32.777,94.087,0.001,Brehmer2022,aromatic,alcohol,
"3,5-Dimethylphenol",108-68-9,Rxi17SilMS,146.21,32.446,100.42,0.001,Brehmer2022,aromatic,,
2-Nitrophenol,88-75-5,Rxi17SilMS,147.83,34.336,84.424,0.001,Brehmer2022,aromatic,,
Decanol,112-30-1,Rxi17SilMS,149.1,33.298,159.25,0.001,Brehmer2022,alcohol,alcohols,
2-Chloroaniline,95-51-2,Rxi17SilMS,149.33,34.452,85.919,0.001,Brehmer2022,aromatic,amine,
Methyl decanoate,110-42-9,Rxi17SilMS,152.75,29.945,116.14,0.001,Brehmer2022,FAME,Grob,saturated FAME
2-Undecanone,112-12-9,Rxi17SilMS,154.13,34.483,204.75,0.001,Brehmer2022,ketone,alkanones,
Propiophenone,93-55-0,Rxi17SilMS,154.16,36.408,132.02,0.001,Brehmer2022,phenone,phenones,
Undecanol,112-42-5,Rxi17SilMS,163.77,34.15,172.93,0.001,Brehmer2022,alcohol,alcohols,
Butyrophenone,495-40-9,Rxi17SilMS,166.13,36.616,130.14,0.001,Brehmer2022,phenone,phenones,
Methyl undecanoate,1731-86-8,Rxi17SilMS,166.41,30.466,120.23,0.001,Brehmer2022,FAME,Grob,saturated FAME
2-Dodecanone,6175-49-1,Rxi17SilMS,168.17,34.454,182.67,0.001,Brehmer2022,ketone,alkanones,
Dodecanol,112-53-8,Rxi17SilMS,177.53,34.954,178.63,0.001,Brehmer2022,alcohol,alcohols,
Methyl laurate,111-82-0,Rxi17SilMS,179.4,30.899,118.02,0.001,Brehmer2022,FAME,Grob,saturated FAME
Valerophenone,1009-14-9,Rxi17SilMS,180.35,37.085,139.82,0.001,Brehmer2022,phenone,phenones,
2-Tridecanone,593-08-8,Rxi17SilMS,181.47,34.737,178.69,0.001,Brehmer2022,ketone,alkanones,
Methyl tridecanoate,1731-88-0,Rxi17SilMS,191.67,31.201,116.79,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Hexanophenone,942-92-7,Rxi17SilMS,193.72,37.169,136.76,0.001,Brehmer2022,phenone,phenones,
Methyl myristate,124-10-7,Rxi17SilMS,203.33,31.477,116.26,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Methyl myristoleate,92857-33-5,Rxi17SilMS,205.38,31.75,104.8,0.001,Brehmer2022,FAME,,
2-Pentadecanone Std,2345-28-0,Rxi17SilMS,205.65,35.057,175.21,0.001,Brehmer2022,ketone,alkanones,
2-Pentadecanone,2345-28-0,Rxi17SilMS,205.93,35.2,177.09,0.001,Brehmer2022,ketone,alkanones,
Heptanophenone,1671-75-6,Rxi17SilMS,206.14,37.092,133.77,0.001,Brehmer2022,phenone,phenones,
Methyl pentadecanoate,7132-64-1,Rxi17SilMS,214.28,31.498,109.4,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Methyl cis-10-pentadecenoate,90176-52-6,Rxi17SilMS,216.4,31.955,105.78,0.001,Brehmer2022,FAME,,
Octanophenone,1674-37-9,Rxi17SilMS,217.92,36.987,133.13,0.001,Brehmer2022,phenone,phenones,
Methyl palmitate,112-39-0,Rxi17SilMS,224.78,31.705,111.82,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Methyl palmitoleate,10030-74-7,Rxi17SilMS,225.98,32.136,106.3,0.001,Brehmer2022,FAME,,
Methyl heptadecanoate,1731-92-6,Rxi17SilMS,234.82,31.932,116.42,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
cis-10-Heptadecenoic acid methyl ester,75190-82-8,Rxi17SilMS,236.03,32.316,107.78,0.001,Brehmer2022,FAME,,
Methyl stearate,112-61-8,Rxi17SilMS,244.82,32.384,119.61,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
cis-9-Oleic acid methyl ester,112-62-9,Rxi17SilMS,245.31,32.324,115.33,0.001,Brehmer2022,FAME,saturated FAME,
trans-9-Elaidic acid methyl ester,1937-62-8,Rxi17SilMS,245.35,32.806,121.27,0.001,Brehmer2022,FAME,,
Methyl linolelaidate,2566-97-4,Rxi17SilMS,247.19,32.817,108.96,0.001,Brehmer2022,FAME,,
Methyl linoleate,112-63-0,Rxi17SilMS,247.54,31.979,102.34,0.001,Brehmer2022,FAME,,
Methyl gamma linolenate,132029-16-4,Rxi17SilMS,247.93,33.017,100.91,0.001,Brehmer2022,FAME,,
Methyl alpha linolenate,301-00-8,Rxi17SilMS,250.18,33.027,106.15,0.001,Brehmer2022,FAME,,
PCB 28,7012-37-5,Rxi17SilMS,256.58,43.603,169.46,0.001,Brehmer2022,PCB,,
PCB 28,7012-37-5,Rxi17SilMS,257.18,44.513,173.01,0.001,Brehmer2022,PCB,,
Methyl arachidate,1120-28-1,Rxi17SilMS,262.19,32.166,116.13,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Methyl cis-11-eicosenoate,2390-09-2,Rxi17SilMS,263.07,32.798,118.95,0.001,Brehmer2022,FAME,,
PCB 52,35693-99-3,Rxi17SilMS,263.3,45.925,254.55,0.001,Brehmer2022,PCB,,
PCB 52,35693-99-3,Rxi17SilMS,263.82,45.906,218.95,0.001,Brehmer2022,PCB,,
"cis-11,14-Eicosadienoic acid methyl ester",61012-46-2,Rxi17SilMS,265.13,32.894,104.53,0.001,Brehmer2022,FAME,,
"cis-8,11,14-Eicosatrienoic acid methyl ester",21061-10-9,Rxi17SilMS,265.89,33.318,103.97,0.001,Brehmer2022,FAME,,
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",7771-44-0,Rxi17SilMS,266.29,33.502,94.808,0.001,Brehmer2022,FAME,,
"cis-11,14,17-Eicosatrienoic acid methyl ester",55682-88-7,Rxi17SilMS,268.05,33.184,105.86,0.001,Brehmer2022,FAME,,
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",2734-47-6,Rxi17SilMS,268.28,31.967,13.169,0.001,Brehmer2022,FAME,,
Methyl heneicosanoate,6064-90-0,Rxi17SilMS,270.58,32.218,116.07,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Methyl behenate,929-77-1,Rxi17SilMS,278.61,32.186,113.23,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Methyl erucate,1120-34-9,Rxi17SilMS,279.54,33.134,163.62,0.001,Brehmer2022,FAME,,
PCB 101,37680-73-2,Rxi17SilMS,280.52,44.407,176.52,0.001,Brehmer2022,PCB,,
PCB 101,37680-73-2,Rxi17SilMS,280.58,44.769,196.3,0.001,Brehmer2022,PCB,,
"cis-13,16-Docosadienoic acid methyl ester",61012-47-3,Rxi17SilMS,281.68,33.017,109.71,0.001,Brehmer2022,FAME,,
Methyl tricosanoate,2433-97-8,Rxi17SilMS,286.49,32.44,122.25,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",301-01-9,Rxi17SilMS,286.57,34.259,101.79,0.001,Brehmer2022,FAME,,
Methyl lignocerate,2442-49-1,Rxi17SilMS,294.06,32.608,127.31,0.001,Brehmer2022,FAME,,
Methyl nervonate,2733-88-2,Rxi17SilMS,295.09,32.844,105.06,0.001,Brehmer2022,FAME,,
PCB 153,35065-27-1,Rxi17SilMS,296.12,42.637,136.12,0.001,Brehmer2022,PCB,,
PCB 153,35065-27-1,Rxi17SilMS,296.18,43.097,145.08,0.001,Brehmer2022,PCB,,
PCB 138 Std,35065-28-2,Rxi17SilMS,306.51,44.111,132.97,0.001,Brehmer2022,PCB,,
PCB 138,35065-28-2,Rxi17SilMS,307.65,46.636,179.74,0.001,Brehmer2022,PCB,,
PCB 138,35065-28-2,Rxi17SilMS,307.74,47.075,186.24,0.001,Brehmer2022,PCB,,
PCB 180,35065-29-3,Rxi17SilMS,319.21,47.993,201.65,0.001,Brehmer2022,PCB,,
