Name,CAS,Phase,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,phi0,N,Source,flag,Cat_1,Cat_2,Cat_3
"N,N-diethylacetamide ",685-91-6,DB5ms,-66.274,8098.5,8.5,107.09,29.71,70.673,-41670.0,-63.753,90.0,0.001,8.0,Boswell2012,String[],,,
2-Nonanone,821-55-6,DB5ms,-70.005,8814.5,8.9092,123.51,29.795,74.075,-46387.0,-71.318,90.0,0.001,8.0,Boswell2012,String[],alkanones,ketone,
C11,1120-21-4,DB5ms,-63.85,8547.0,8.0012,124.9,29.549,66.526,-46905.0,-72.199,90.0,0.001,9.0,Boswell2012,String[],alkane,Grob,alkanes
Acetophenone ,98-86-2,DB5ms,-61.613,8016.9,7.8351,122.06,31.745,65.145,-42999.0,-63.117,90.0,0.001,8.0,Boswell2012,String[],phenones,aromatic,
2-Decanone,693-54-9,DB5ms,-72.244,9388.8,9.1397,140.45,30.5,75.991,-50466.0,-76.726,90.0,0.001,10.0,Boswell2012,String[],ketone,alkanones,
Octyl acetate,112-14-1,DB5ms,-75.483,9726.4,9.5527,142.41,29.998,79.426,-52026.0,-79.978,90.0,0.001,9.0,Boswell2012,String[],carboxylate esters,,
C12,112-40-3,DB5ms,-68.393,9233.6,8.5683,141.47,30.259,71.241,-50902.0,-77.459,90.0,0.001,9.0,Boswell2012,String[],alkane,alkanes,
Propiophenone ,93-55-0,DB5ms,-65.159,8655.9,8.2501,138.96,32.312,68.595,-47059.0,-68.809,90.0,0.001,10.0,Boswell2012,String[],phenones,phenone,
Naphthalene,91-20-3,DB5ms,-57.57,8101.6,7.2454,145.52,34.586,60.241,-45484.0,-63.312,90.0,0.001,10.0,Boswell2012,String[],PAH,,
Butyrophenone ,495-40-9,DB5ms,-69.052,9241.9,8.7346,152.98,32.896,72.623,-50469.0,-73.409,90.0,0.001,9.0,Boswell2012,String[],phenones,phenone,
2-Undecanone,112-12-9,DB5ms,-77.177,10096.0,9.7634,156.29,31.244,81.177,-54460.0,-81.986,90.0,0.001,9.0,Boswell2012,String[],alkanones,ketone,
C13,629-50-5,DB5ms,-76.247,10117.0,9.6049,156.93,30.897,79.86,-55120.0,-83.336,90.0,0.001,9.0,Boswell2012,String[],alkane,alkanes,
Decyl acetate,112-17-4,DB5ms,-85.226,11137.0,10.779,172.16,31.294,89.621,-60049.0,-90.685,90.0,0.001,10.0,Boswell2012,String[],carboxylate esters,,
Valerophenone ,1009-14-9,DB5ms,-69.4,9674.6,8.7058,168.74,33.507,72.384,-54153.0,-77.948,90.0,0.001,11.0,Boswell2012,String[],phenones,phenone,
2-Dodecanone,6175-49-1,DB5ms,-79.039,10616.0,9.9512,171.18,31.87,82.739,-58223.0,-86.704,90.0,0.001,9.0,Boswell2012,String[],alkanones,ketone,
C14,629-59-4,DB5ms,-73.738,10365.0,9.1767,171.64,31.484,76.299,-58475.0,-87.026,90.0,0.001,11.0,Boswell2012,String[],alkane,alkanes,
Indole,120-72-9,DB5ms,-70.493,9384.2,8.9537,160.32,34.144,74.445,-50990.0,-72.825,90.0,0.001,12.0,Boswell2012,String[],,,
2-Tridecanone,593-08-8,DB5ms,-84.631,11373.0,10.662,185.04,32.362,88.653,-62365.0,-92.422,90.0,0.001,11.0,Boswell2012,String[],alkanones,ketone,
C15,629-62-9,DB5ms,-76.901,10921.0,9.5624,185.19,32.129,79.506,-61931.0,-91.21,90.0,0.001,9.0,Boswell2012,String[],alkane,alkanes,
C16,544-76-3,DB5ms,-82.664,11708.0,10.29,198.13,32.383,85.559,-66279.0,-97.395,90.0,0.001,11.0,Boswell2012,String[],alkanes,alkane,
2-Pentadecanone,2345-28-0,DB5ms,-89.503,12465.0,11.203,210.52,33.201,93.15,-69812.0,-101.91,90.0,0.001,10.0,Boswell2012,String[],alkanones,ketone,
Coumarin,91-64-5,DB5ms,-64.143,9406.0,8.0136,183.79,36.348,66.629,-54009.0,-73.921,90.0,0.001,11.0,Boswell2012,String[],allergenic fragrances,,
C17,629-78-7,DB5ms,-89.484,12538.0,11.174,210.13,32.723,92.907,-70504.0,-103.44,90.0,0.001,10.0,Boswell2012,String[],alkanes,alkane,
C18,593-45-3,DB5ms,-97.183,13427.0,12.18,221.6,33.074,101.27,-74863.0,-109.78,90.0,0.001,10.0,Boswell2012,String[],alkanes,alkane,
C19,629-92-5,DB5ms,-101.43,14067.0,12.711,232.62,33.488,105.68,-78582.0,-114.67,90.0,0.001,9.0,Boswell2012,String[],alkanes,alkane,
Indole-3-acetic acid ethyl ester,778-82-5,DB5ms,-94.944,13125.0,11.98,235.3,36.753,99.607,-72956.0,-102.64,90.0,0.001,8.0,Boswell2012,String[],,,
C20,112-95-8,DB5ms,-108.03,14883.0,13.564,243.08,33.815,112.77,-82787.0,-120.69,90.0,0.001,9.0,Boswell2012,String[],alkanes,alkane,
C21,629-94-7,DB5ms,-113.84,15640.0,14.306,253.07,34.136,118.95,-86843.0,-126.38,90.0,0.001,8.0,Boswell2012,String[],alkanes,alkane,
Triphenylmethane,519-73-3,DB5ms,-90.391,13083.0,11.327,250.04,38.249,94.178,-74575.0,-102.21,90.0,0.001,9.0,Boswell2012,String[],,,
C22,629-97-0,DB5ms,-119.74,16408.0,15.061,262.63,34.426,125.23,-90949.0,-132.2,90.0,0.001,8.0,Boswell2012,String[],alkanes,alkane,
C23,638-67-5,DB5ms,-125.77,17184.0,15.833,271.8,34.71,131.64,-95070.0,-138.06,90.0,0.001,7.0,Boswell2012,String[],alkanes,alkane,
C24,646-31-1,DB5ms,-131.34,17927.0,16.542,280.59,34.975,137.54,-99109.0,-143.76,90.0,0.001,7.0,Boswell2012,String[],alkanes,alkane,
C25,629-99-2,DB5ms,-136.13,18613.0,17.143,289.05,35.214,142.53,-103000.0,-149.13,90.0,0.001,7.0,Boswell2012,String[],alkanes,alkane,
C26,630-01-3,DB5ms,-140.68,19278.0,17.711,297.19,35.446,147.26,-106810.0,-154.35,90.0,0.001,6.0,Boswell2012,String[],alkanes,alkane,
C28,630-02-4,DB5ms,-148.11,20483.0,18.62,312.58,35.826,154.82,-114080.0,-164.04,90.0,0.001,5.0,Boswell2012,String[],alkanes,alkane,
C30,638-68-6,DB5ms,-155.02,21640.0,19.458,326.91,36.139,161.78,-121170.0,-173.4,90.0,0.001,5.0,Boswell2012,String[],alkanes,alkane,
C32,544-85-4,DB5ms,-164.19,22964.0,20.607,340.33,36.462,171.34,-128710.0,-183.82,90.0,0.001,4.0,Boswell2012,String[],alkanes,,
Benzamide,55-21-0,DB5ms,-80.438,10152.0,10.32,164.43,33.976,85.808,-53244.0,-77.173,90.0,0.001,10.0,Boswell2012,String[],,,
4-Nitroaniline,100-01-6,DB5ms,-78.712,10931.0,9.9431,204.12,36.824,82.672,-60866.0,-84.445,90.0,0.001,11.0,Boswell2012,String[],,,
1-Naphthol,90-15-3,DB5ms,-85.904,11106.0,10.995,191.6,36.024,91.421,-59140.0,-83.91,90.0,0.001,11.0,Boswell2012,String[],,,
Resorcinol,108-46-3,DB5ms,-101.85,11503.0,13.274,152.7,30.999,110.36,-55561.0,-85.891,90.0,0.001,11.0,Boswell2012,String[],,,
Hexanophenone,942-92-7,DB5ms,-78.324,10632.0,9.8885,183.27,34.048,82.218,-58540.0,-84.345,90.0,0.001,11.0,Boswell2012,String[],phenone,,
Heptanophenone ,1671-75-6,DB5ms,-83.838,11377.0,10.59,197.01,34.547,88.049,-62621.0,-89.984,90.0,0.001,10.0,Boswell2012,String[],phenones,phenone,
Octanophenone ,1674-37-9,DB5ms,-86.602,11959.0,10.902,210.21,34.924,90.642,-66518.0,-95.085,90.0,0.001,9.0,Boswell2012,String[],phenones,phenone,
Tert-butylpyridine,585-48-8,DB5ms,-61.022,8078.2,7.7361,126.93,32.122,64.322,-43807.0,-63.88,90.0,0.001,10.0,Boswell2012,String[],,,
4-Methylpyridine,108-89-4,DB5ms,-48.641,6435.6,6.1357,81.727,29.575,51.015,-34983.0,-52.683,90.0,0.001,6.0,Boswell2012,String[],,,
4-Ethylaniline,589-16-2,DB5ms,-65.571,8673.0,8.3138,139.39,32.458,69.125,-47008.0,-68.58,90.0,0.001,11.0,Boswell2012,String[],anilines,,
4-Butylaniline,104-13-2,DB5ms,-70.911,9769.6,8.9269,170.45,33.871,74.222,-54275.0,-77.836,90.0,0.001,11.0,Boswell2012,String[],anilines,,
4-Hexylaniline,33228-45-4,DB5ms,-80.831,11184.0,10.175,198.57,34.859,84.604,-62261.0,-88.737,90.0,0.001,10.0,Boswell2012,String[],anilines,,
4-Octylaniline,16245-79-7,DB5ms,-93.04,12751.0,11.743,223.94,35.74,97.637,-70561.0,-100.39,90.0,0.001,10.0,Boswell2012,String[],anilines,,
4-Decylaniline,37529-30-9,DB5ms,-101.85,14089.0,12.836,246.83,36.465,106.73,-78388.0,-110.97,90.0,0.001,9.0,Boswell2012,String[],anilines,,
4-Dodecylaniline,104-42-7,DB5ms,-111.28,15476.0,14.013,267.6,37.02,116.51,-86364.0,-121.93,90.0,0.001,8.0,Boswell2012,String[],anilines,,
1-Octanol,111-87-5,DB5ms,-72.147,8868.5,9.2224,119.59,29.399,76.679,-45891.0,-71.169,90.0,0.001,8.0,Boswell2012,String[],alcohol,Grob,alcohols
Octanoic acid,124-07-2,DB5ms,-94.066,10730.0,12.187,134.05,28.749,101.33,-52418.0,-83.458,90.0,0.001,7.0,Boswell2012,String[],,,
Decanoic acid ,334-48-5,DB5ms,-90.183,11241.0,11.513,164.35,30.853,95.724,-58701.0,-89.826,90.0,0.001,9.0,Boswell2012,String[],,,
Dextromethorphan,125-71-3,DB5ms,-95.683,13831.0,12.02,268.23,40.017,99.94,-78707.0,-106.48,90.0,0.001,8.0,Boswell2012,String[],,,
Lidocaine,137-58-6,DB5ms,-89.128,12720.0,11.178,236.13,36.909,92.941,-72008.0,-100.25,90.0,0.001,9.0,Boswell2012,String[],,,
Caffeine,58-08-2,DB5ms,-90.358,12546.0,11.415,232.6,37.765,94.912,-69848.0,-96.876,90.0,0.001,10.0,Boswell2012,String[],,,
Anthracene,120-12-7,DB5ms,-73.065,10983.0,9.1317,231.99,40.053,75.925,-63749.0,-84.008,90.0,0.001,8.0,Boswell2012,String[],PAH,,
"(1S,2R)-1-Phenyl-2-pyrrolidin-1-yl-propan-1-ol",123620-80-4,DB5ms,-79.537,11353.0,9.9811,214.54,36.675,82.988,-64256.0,-89.125,90.0,0.001,7.0,Boswell2012,String[],,,
Diphenylamine,122-39-4,DB5ms,-82.105,11309.0,10.374,206.26,36.275,86.257,-62707.0,-87.932,90.0,0.001,11.0,Boswell2012,String[],,,
Benzocaine,94-09-7,DB5ms,-82.394,11266.0,10.403,198.98,35.075,86.493,-62265.0,-88.708,90.0,0.001,9.0,Boswell2012,String[],,,
Nikethamide,59-26-7,DB5ms,-79.225,10883.0,9.9989,194.37,35.205,83.135,-60297.0,-85.508,90.0,0.001,10.0,Boswell2012,String[],,,
Nicotine,22083-74-5,DB5ms,-71.475,9615.9,9.0691,168.9,34.852,75.404,-52568.0,-74.375,90.0,0.001,9.0,Boswell2012,String[],,,
Tri-n-hexylamine ,102-86-3,DB5ms,-93.157,12821.0,11.692,213.87,33.28,97.211,-71301.0,-104.3,90.0,0.001,9.0,Boswell2012,String[],,,
Tri-n-octylamine ,1116-76-3,DB5ms,-123.75,16977.0,15.57,271.08,34.833,129.45,-94140.0,-136.37,90.0,0.001,7.0,Boswell2012,String[],,,
Tri-n-decylamine,1070-01-5,DB5ms,-145.13,20451.0,18.18,316.75,35.777,151.16,-115150.0,-164.52,90.0,0.001,5.0,Boswell2012,String[],,,
C34,14167-59-0,DB5ms,-165.31,23687.0,20.652,352.42,36.343,171.71,-134590.0,-190.59,90.0,0.001,4.0,Boswell2012,String[],alkanes,,
C36,630-06-8,DB5ms,-175.0,25045.0,21.871,364.2,36.576,181.85,-142200.0,-201.26,90.0,0.001,3.0,Boswell2012,String[],alkanes,,
Ethyl butyrate,105-54-4,Rxi5ms,-68.817,7420.2,9.0267,69.573,27.149,75.052,-34440.0,-54.709,90.0,0.001,NaN,Gaida2021,String[],ester,,
D-Limonene,138-86-3,Rxi5ms,-60.48,7796.4,7.7145,117.34,31.875,64.142,-41530.0,-60.609,90.0,0.001,NaN,Gaida2021,String[],terpene,allergenic fragrances,
Eucalyptol,470-82-6,Rxi5ms,-68.213,8165.7,8.8576,118.44,32.647,73.646,-41149.0,-59.377,90.0,0.001,NaN,Gaida2021,String[],terpene,,
Benzoic acid,65-85-0,Rxi5ms,-105.15,11092.0,13.896,136.17,31.003,115.54,-50267.0,-77.693,90.0,0.001,NaN,Gaida2021,String[],carboxylic acid,,
Geraniol,106-24-1,Rxi5ms,-86.538,10383.0,11.178,152.57,32.225,92.94,-52578.0,-78.709,90.0,0.001,NaN,Gaida2021,String[],terpene,allergenic fragrances,
Cinnamic aldehyde,104-55-2,Rxi5ms,-74.964,9544.0,9.621,158.56,34.575,79.993,-50304.0,-71.743,90.0,0.001,NaN,Gaida2021,String[],aldehyde,allergenic fragrances,
Hydroxycitronellal,107-75-5,Rxi5ms,-86.045,10470.0,11.09,157.77,32.627,92.205,-53568.0,-79.68,90.0,0.001,NaN,Gaida2021,String[],aldehyde,allergenic fragrances,
Thymol,89-83-8,Rxi5ms,-104.45,11567.0,13.707,158.33,32.935,113.97,-54787.0,-82.667,90.0,0.001,NaN,Gaida2021,String[],terpene,,
Cinnamyl alcohol,104-54-1,Rxi5ms,-80.809,10096.0,10.394,162.71,34.134,86.42,-52560.0,-76.035,90.0,0.001,NaN,Gaida2021,String[],alcohol,allergenic fragrances,
Vanillin,121-33-5,Rxi5ms,-85.196,10665.0,10.972,177.23,35.439,91.222,-55546.0,-79.395,90.0,0.001,NaN,Gaida2021,String[],aldehyde,,
Cinnamyl acetate,103-54-8,Rxi5ms,-87.058,11113.0,11.135,181.62,34.189,92.581,-58778.0,-85.516,90.0,0.001,NaN,Gaida2021,String[],ester,,
Benzyl salicylate,118-58-1,Rxi5ms,-91.907,12735.0,11.626,237.87,38.439,96.668,-70780.0,-97.648,90.0,0.001,NaN,Gaida2021,String[],ester,allergenic fragrances,
"2,3-Butanediol",513-85-9,Rxi5ms,-151.63,11425.0,21.184,64.89,26.798,176.13,-31031.0,-46.353,90.0,0.001,NaN,Gaida2021,String[],alcohol,,
C10,124-18-5,Rxi5ms,-68.238,8284.1,8.7613,109.32,29.653,72.846,-42424.0,-65.109,90.0,0.001,NaN,Gaida2021,String[],alkane,Grob,alkanes
1-Octanol,111-87-5,Rxi5ms,-95.371,10075.0,12.608,121.67,30.582,104.83,-45701.0,-70.199,90.0,0.001,NaN,Gaida2021,String[],alcohol,Grob,alcohols
C11,1120-21-4,Rxi5ms,-73.764,9040.1,9.4613,126.89,30.452,78.666,-46596.0,-70.927,90.0,0.001,NaN,Gaida2021,String[],alkane,Grob,alkanes
Nonanal,124-19-6,Rxi5ms,-81.084,9404.2,10.538,128.24,31.139,87.62,-46372.0,-70.043,90.0,0.001,NaN,Gaida2021,String[],aldehyde,Grob,
"2,6-Dimethylphenol",576-26-1,Rxi5ms,-84.354,9445.9,11.077,130.35,32.719,92.101,-45091.0,-66.335,90.0,0.001,NaN,Gaida2021,String[],aromatic,Grob,
