Name,CAS,Phase,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,phi0,N,R²,χ²,χ̄²,Source,flag,Cat_1,Cat_2,Cat_3
Benzo[b]fluoranthene,205-99-2,Rxi17SilMS,-78.116,1.9313,14486.0,165.03,9.4069,0.25935,356.39,0.093055,46.277,0.12858,78.213,2.1564,-71206.0,198.97,-67.201,0.31473,-92041.0,608.22,-110.23,1.2276,90.0,0.001,26.0,1.0,3.7216e-5,1.6181e-6,Duong2022,String[],PAH,,
Benzo[k]fluoranthene,207-08-9,Rxi17SilMS,-78.129,1.6538,14517.0,141.44,9.4029,0.22207,356.85,0.080845,46.188,0.1106,78.18,1.8464,-71447.0,172.06,-67.5,0.27194,-92309.0,522.15,-110.57,1.0531,90.0,0.001,25.0,1.0,2.5786e-5,1.1721e-6,Duong2022,String[],PAH,,
Benzo[a]pyrene,50-32-8,Rxi17SilMS,-81.054,1.7795,14877.0,155.11,9.8057,0.23836,368.27,0.11616,47.907,0.14411,81.529,1.9818,-71403.0,216.35,-65.414,0.33549,-94090.0,592.88,-111.79,1.1766,90.0,0.001,25.0,1.0,2.873e-5,1.3059e-6,Duong2022,String[],PAH,,
"Indeno[1,2,3-cd]pyrene",193-39-5,Rxi17SilMS,-88.37,45.688,16110.0,4127.6,10.723,6.0882,393.38,3.6306,49.565,4.1036,89.155,50.62,-74526.0,6223.3,-65.903,9.277,-101570.0,16589.0,-120.04,32.123,90.0,0.001,23.0,0.9996,0.0026496,0.00013248,Duong2022,String[],PAH,,
"Dibenzo[a,h]anthracene",53-70-3,Rxi17SilMS,-99.049,45.997,17116.0,4144.8,12.128,6.1316,391.69,3.489,48.823,3.9733,100.84,50.981,-75273.0,6176.6,-67.313,9.2332,-105690.0,16595.0,-128.29,32.196,90.0,0.001,23.0,0.99961,0.0026875,0.00013437,Duong2022,String[],PAH,,
"Benzo[g,h,i]perylene",191-24-2,Rxi17SilMS,-71.267,43.208,14917.0,3942.3,8.3881,5.7503,399.69,3.7923,48.821,3.9182,69.742,47.81,-77100.0,6248.6,-68.681,9.2192,-98699.0,16088.0,-111.69,30.903,90.0,0.001,21.0,0.99967,0.0017869,9.9274e-5,Duong2022,String[],PAH,,
Naphthalene,91-20-3,ZB-PAH-CT,145.84,52.714,-3113.1,3245.1,-21.97,7.4702,152.53,4.3624,29.043,3.0082,-182.67,62.111,-51876.0,5477.5,-75.957,12.684,-40453.0,6635.3,-46.936,16.034,90.0,0.001,12.0,0.99732,0.022011,0.0024457,Duong2022,"[""A > 0"", ""B < 0"", ""C < 0""]",PAH,,
Acenaphthylene,208-96-8,ZB-PAH-CT,44.859,37.738,3539.4,2460.8,-7.6833,5.294,184.58,1.9744,29.692,1.7938,-63.882,44.016,-58668.0,3580.3,-82.265,7.763,-52627.0,5480.6,-67.479,12.8,90.0,0.001,8.0,0.99966,0.0027492,0.00054984,Duong2022,"[""lambertw > 0"", ""A > 0"", ""C < 0""]",PAH,,
Acenaphthene,83-32-9,ZB-PAH-CT,107.0,11.524,304.36,748.25,-16.682,1.6174,183.12,0.51365,26.299,0.40956,-138.7,13.448,-65817.0,1035.6,-98.342,2.2523,-52901.0,1620.1,-66.68,3.8039,90.0,0.001,8.0,0.99997,0.00025661,5.1322e-5,Duong2022,"[""lambertw > 0"", ""A > 0"", ""C < 0""]",PAH,,
Fluorene,86-73-7,ZB-PAH-CT,14.521,20.006,5744.1,1342.2,-3.4258,2.7927,201.18,0.88403,30.531,0.89092,-28.484,23.22,-61270.0,1802.4,-83.264,3.777,-58103.0,3146.7,-75.657,7.2596,90.0,0.001,8.0,0.99992,0.00061501,0.000123,Duong2022,"[""lambertw > 0"", ""A > 0"", ""C < 0""]",PAH,,
Phenanthrene,85-01-8,ZB-PAH-CT,80.906,10.422,2358.5,723.15,-12.92,1.4465,221.44,0.35727,27.961,0.33573,-107.42,12.027,-72741.0,879.71,-101.16,1.7691,-58621.0,1807.3,-67.979,4.1138,90.0,0.001,6.0,0.99999,6.1078e-5,2.0359e-5,Duong2022,"[""lambertw > 0"", ""A > 0"", ""C < 0""]",PAH,,
Anthracene,120-12-7,ZB-PAH-CT,81.975,68.46,2169.0,4790.3,-13.009,9.4909,225.33,2.8959,28.714,2.4845,-108.16,78.911,-71950.0,6281.2,-98.431,12.517,-57312.0,12372.0,-64.17,27.942,90.0,0.001,16.0,0.99803,0.029845,0.0022958,Duong2022,"[""lambertw > 0"", ""A > 0"", ""C < 0""]",PAH,,
Fluoranthene,206-44-0,ZB-PAH-CT,17.541,7.8876,6671.0,583.93,-3.9236,1.0842,256.67,0.4543,32.081,0.38124,-32.623,9.0149,-72749.0,873.48,-91.403,1.636,-67312.0,1736.9,-79.081,3.7769,90.0,0.001,9.0,0.99999,7.5046e-5,1.2508e-5,Duong2022,"[""lambertw > 0"", ""A > 0"", ""C < 0""]",PAH,,
Pyrene,129-00-0,ZB-PAH-CT,20.826,7.2696,6497.0,543.89,-4.3626,0.99761,263.19,0.43208,32.553,0.35673,-36.272,8.2946,-73474.0,813.83,-91.082,1.5053,-67192.0,1650.0,-76.938,3.5669,90.0,0.001,8.0,0.99999,2.6144e-5,5.2287e-6,Duong2022,"[""lambertw > 0"", ""A > 0"", ""C < 0""]",PAH,,
Benz[a]anthracene,56-55-3,ZB-PAH-CT,-17.543,48.568,9795.2,3816.2,0.92277,6.6114,296.0,2.5171,34.944,2.3759,7.6724,54.97,-77075.0,5284.5,-89.513,9.2267,-78656.0,12497.0,-92.96,26.368,90.0,0.001,8.0,0.99975,0.0015696,0.00031392,Duong2022,String[],PAH,,
Chrysene,218-01-9,ZB-PAH-CT,36.079,33.981,6262.1,2654.3,-6.5647,4.629,293.18,1.5167,32.138,1.3297,-54.582,38.488,-82978.0,3461.9,-100.61,6.075,-71888.0,8548.3,-76.355,18.147,90.0,0.001,8.0,0.99988,0.00076946,0.00015389,Duong2022,"[""lambertw > 0"", ""A > 0"", ""C < 0""]",PAH,,
Benzo[b]fluoranthene,205-99-2,ZB-PAH-CT,17.907,90.357,7870.2,7383.8,-4.0093,12.226,321.81,5.123,34.516,4.2348,-33.335,101.65,-85270.0,10564.0,-97.411,17.627,-77542.0,25815.0,-80.954,53.185,90.0,0.001,15.0,0.99826,0.018231,0.0015193,Duong2022,"[""lambertw > 0"", ""A > 0"", ""C < 0""]",PAH,,
Benzo[k]fluoranthene,207-08-9,ZB-PAH-CT,41.765,35.822,6302.2,2910.3,-7.3443,4.8502,319.07,1.7378,32.927,1.4392,-61.064,40.327,-88562.0,3905.7,-103.63,6.551,-74574.0,10025.0,-73.77,20.779,90.0,0.001,8.0,0.99988,0.0007332,0.00014664,Duong2022,"[""lambertw > 0"", ""A > 0"", ""C < 0""]",PAH,,
Benzo[a]pyrene,50-32-8,ZB-PAH-CT,25.133,18.775,7527.4,1545.1,-5.025,2.5374,327.29,0.97286,34.19,0.82979,-41.78,21.097,-87673.0,2146.7,-100.11,3.5516,-77759.0,5444.9,-79.098,11.186,90.0,0.001,8.0,0.99997,0.00029575,5.915e-5,Duong2022,"[""lambertw > 0"", ""A > 0"", ""C < 0""]",PAH,,
"Indeno[1,2,3-cd]pyrene",193-39-5,ZB-PAH-CT,-55.231,39.696,13583.0,3436.5,6.0911,5.3263,359.73,3.0879,41.172,2.7876,50.644,44.285,-80886.0,5533.2,-81.899,8.676,-94547.0,13175.0,-110.03,26.091,90.0,0.001,15.0,0.9996,0.0041942,0.00034952,Duong2022,String[],PAH,,
"Dibenzo[a,h]anthracene",53-70-3,ZB-PAH-CT,-93.497,26.461,16475.0,2300.0,11.327,3.5481,362.95,2.0216,43.648,2.049,94.176,29.501,-77076.0,3651.2,-75.261,5.7012,-102780.0,8853.9,-128.05,17.501,90.0,0.001,8.0,0.99994,0.00031643,6.3287e-5,Duong2022,String[],PAH,,
"Benzo[g,h,i]perylene",191-24-2,ZB-PAH-CT,-15.308,13.044,10841.0,1125.3,0.57344,1.7504,359.69,0.82067,38.222,0.71626,4.7678,14.553,-87118.0,1648.1,-91.755,2.5859,-88404.0,4257.1,-94.403,8.4867,90.0,0.001,8.0,0.99999,7.701e-5,1.5402e-5,Duong2022,String[],PAH,,
C8,111-65-9,Rxi17SilMS,-129.24,53.036,9823.1,2509.0,18.032,7.84,45.508,0.93773,24.905,1.3957,149.92,65.186,-33899.0,1910.2,-60.473,5.9698,-27229.0,3483.7,-40.879,10.426,90.0,0.001,5.0,0.99964,0.00027766,0.00013883,Marquart2020,String[],alkanes,alkane,
C9,111-84-2,Rxi17SilMS,-84.84,13.564,8125.4,675.07,11.395,1.9871,65.781,0.11654,26.946,0.28984,94.747,16.522,-35446.0,382.05,-58.672,1.1255,-33151.0,553.84,-52.133,1.6033,90.0,0.001,7.0,0.99993,0.00019241,4.8102e-5,Marquart2020,String[],alkanes,alkane,
C10,124-18-5,Rxi17SilMS,-78.094,6.8343,8310.9,356.03,10.273,0.99318,85.071,0.06896,27.71,0.079482,85.412,8.2577,-38504.0,111.44,-61.579,0.30901,-38083.0,119.52,-60.411,0.33041,90.0,0.001,8.0,0.99998,0.00011411,2.2821e-5,Marquart2020,String[],Grob,alkane,alkanes
C11,1120-21-4,Rxi17SilMS,-79.759,2.7411,8905.5,148.82,10.388,0.39556,102.86,0.035235,28.28,0.027605,86.37,3.2889,-41568.0,41.316,-64.642,0.1084,-42679.0,59.613,-67.648,0.15841,90.0,0.001,9.0,1.0,3.7853e-5,6.3088e-6,Marquart2020,String[],Grob,alkane,alkanes
C12,112-40-3,Rxi17SilMS,-84.548,1.9265,9645.4,108.59,10.966,0.27628,119.42,0.034379,28.859,0.027904,91.18,2.2971,-44401.0,43.632,-67.196,0.10981,-47084.0,80.806,-74.299,0.21048,90.0,0.001,11.0,1.0,6.2149e-5,7.7686e-6,Marquart2020,String[],alkanes,alkane,
C13,629-50-5,Rxi17SilMS,-85.281,1.8987,10156.0,110.68,10.965,0.27079,134.92,0.031097,29.312,0.03209,91.168,2.2514,-47236.0,52.211,-69.845,0.12703,-51331.0,114.03,-80.478,0.29199,90.0,0.001,11.0,1.0,5.3795e-5,6.7244e-6,Marquart2020,String[],alkanes,alkane,
C14,629-59-4,Rxi17SilMS,-68.032,10.926,9602.3,657.2,8.4074,1.5505,149.55,0.14116,29.541,0.23677,69.903,12.891,-50290.0,404.47,-73.065,0.95438,-54453.0,868.18,-83.68,2.1784,90.0,0.001,10.0,0.99993,0.00089887,0.00012841,Marquart2020,String[],alkanes,alkane,
C15,629-62-9,Rxi17SilMS,-102.52,7.3734,12032.0,455.77,13.238,1.0416,163.32,0.1086,30.464,0.15683,110.07,8.6601,-51994.0,268.92,-73.217,0.61399,-60064.0,690.08,-93.459,1.7075,90.0,0.001,11.0,0.99996,0.00065132,8.1415e-5,Marquart2020,String[],alkanes,alkane,
C16,544-76-3,Rxi17SilMS,-97.152,8.9252,12156.0,565.36,12.381,1.2556,176.25,0.10095,30.635,0.16112,102.94,10.44,-54812.0,289.33,-76.06,0.64206,-63691.0,946.07,-97.996,2.3158,90.0,0.001,10.0,0.99996,0.00043985,6.2835e-5,Marquart2020,String[],alkanes,alkane,
C17,629-78-7,Rxi17SilMS,-103.86,6.3661,12977.0,412.8,13.248,0.89221,188.54,0.06999,31.069,0.12088,110.15,7.4183,-57045.0,222.62,-77.649,0.48109,-67900.0,764.39,-104.09,1.8451,90.0,0.001,10.0,0.99998,0.00020236,2.8908e-5,Marquart2020,String[],alkanes,alkane,
C18,593-45-3,Rxi17SilMS,-108.07,5.0135,13647.0,332.2,13.76,0.70019,200.23,0.053817,31.415,0.097534,114.41,5.8217,-59308.0,184.62,-79.377,0.38923,-71919.0,667.91,-109.71,1.5917,90.0,0.001,10.0,0.99999,0.0001138,1.6258e-5,Marquart2020,String[],alkanes,alkane,
C19,629-92-5,Rxi17SilMS,-107.18,4.3031,13990.0,290.88,13.556,0.59904,211.31,0.044899,31.618,0.083416,112.71,4.9807,-61718.0,163.23,-81.487,0.3363,-75391.0,625.98,-113.97,1.4745,90.0,0.001,10.0,0.99999,7.6216e-5,1.0888e-5,Marquart2020,String[],alkanes,alkane,
C20,112-95-8,Rxi17SilMS,-108.39,4.2675,14459.0,293.86,13.652,0.5923,221.86,0.043114,31.821,0.081264,113.51,4.9247,-64027.0,163.89,-83.435,0.33051,-78994.0,669.85,-118.6,1.561,90.0,0.001,10.0,0.99999,6.8308e-5,9.7583e-6,Marquart2020,String[],alkanes,alkane,
C21,629-94-7,Rxi17SilMS,-122.79,7.5857,15760.0,533.04,15.601,1.0498,232.17,0.11879,32.419,0.21313,129.72,8.7285,-65489.0,431.64,-83.691,0.85255,-83931.0,1314.3,-126.55,3.0076,90.0,0.001,7.0,1.0,2.0228e-5,5.0571e-6,Marquart2020,String[],alkanes,alkane,
C22,629-97-0,Rxi17SilMS,-109.28,3.3473,15265.0,238.53,13.637,0.46208,241.56,0.040018,32.126,0.070291,113.38,3.8419,-68564.0,150.4,-87.302,0.29164,-85749.0,601.48,-126.85,1.3715,90.0,0.001,11.0,1.0,6.8187e-5,8.5233e-6,Marquart2020,String[],alkanes,alkane,
C23,638-67-5,Rxi17SilMS,-108.91,3.006,15595.0,217.47,13.522,0.41396,250.79,0.034087,32.255,0.059757,112.43,3.4418,-70763.0,131.42,-89.15,0.25037,-88840.0,568.89,-130.36,1.2863,90.0,0.001,11.0,1.0,5.039e-5,6.2987e-6,Marquart2020,String[],alkanes,alkane,
C24,646-31-1,Rxi17SilMS,-110.2,2.8283,16029.0,207.67,13.641,0.38858,259.66,0.030761,32.403,0.059742,113.42,3.2309,-72844.0,134.57,-90.81,0.2522,-92086.0,564.48,-134.29,1.264,90.0,0.001,10.0,1.0,2.29e-5,3.2715e-6,Marquart2020,String[],alkanes,alkane,
C25,629-99-2,Rxi17SilMS,-112.36,3.5703,16516.0,265.87,13.881,0.48945,268.17,0.040828,32.555,0.079489,115.42,4.0695,-74840.0,183.09,-92.346,0.33774,-95404.0,747.92,-138.42,1.6594,90.0,0.001,9.0,1.0,1.7413e-5,2.9022e-6,Marquart2020,String[],alkanes,alkane,
C26,630-01-3,Rxi17SilMS,-111.42,1.8265,16783.0,137.83,13.694,0.24988,276.33,0.022967,32.609,0.042218,113.85,2.0776,-76985.0,99.879,-94.197,0.18149,-98199.0,399.85,-141.35,0.87943,90.0,0.001,8.0,1.0,1.9788e-6,3.9576e-7,Marquart2020,String[],alkanes,alkane,
C27,593-49-7,Rxi17SilMS,-117.93,1.69,17574.0,129.31,14.537,0.23075,284.24,0.029887,32.804,0.046144,120.87,1.9186,-78746.0,111.09,-95.369,0.19888,-102220.0,388.96,-147.15,0.84581,90.0,0.001,8.0,1.0,1.6875e-6,3.3749e-7,Marquart2020,String[],alkane,alkanes,
C28,630-02-4,Rxi17SilMS,-127.22,1.5966,18565.0,123.67,15.762,0.21759,291.9,0.030965,33.056,0.045195,131.05,1.8091,-80309.0,110.15,-96.218,0.19448,-106770.0,381.63,-154.16,0.82323,90.0,0.001,7.0,1.0,5.761e-7,1.4402e-7,Marquart2020,String[],alkanes,alkane,
C29,630-03-5,Rxi17SilMS,-135.87,3.1227,19498.0,244.75,16.903,0.4248,299.42,0.066154,33.386,0.09186,140.54,3.532,-81644.0,225.43,-96.684,0.39268,-111080.0,773.54,-160.67,1.6557,90.0,0.001,6.0,1.0,7.0302e-7,2.3434e-7,Marquart2020,String[],alkane,alkanes,
C30,638-68-6,Rxi17SilMS,-147.13,9.6861,20629.0,768.96,18.4,1.3153,306.72,0.26423,33.763,0.32766,152.99,10.936,-82806.0,807.15,-96.893,1.3874,-115960.0,2505.4,-168.49,5.3042,90.0,0.001,6.0,1.0,6.7404e-6,2.2468e-6,Marquart2020,String[],alkanes,alkane,
Limonene,138-86-3,Rxi17SilMS,-75.098,4.3818,8393.5,240.6,9.8499,0.63146,106.2,0.05929,30.903,0.1486,81.897,5.2502,-38719.0,186.58,-56.158,0.49107,-40046.0,205.41,-59.733,0.54245,90.0,0.001,5.0,1.0,4.0222e-6,2.0111e-6,Marquart2020,String[],terpene,allergenic fragrances,
Linalool,78-70-6,Rxi17SilMS,-83.176,2.6778,9508.6,151.66,10.803,0.38383,120.72,0.029744,29.529,0.067299,89.817,3.1914,-43682.0,99.774,-64.996,0.2529,-46441.0,140.04,-72.29,0.36234,90.0,0.001,8.0,1.0,1.7043e-5,3.4086e-6,Marquart2020,String[],allergenic fragrances,terpene,
Benzylalkohol,100-51-6,Rxi17SilMS,-76.414,2.6276,9021.1,151.87,9.9236,0.37548,129.2,0.046043,32.194,0.099001,82.509,3.1219,-41808.0,128.92,-58.002,0.31975,-45042.0,178.0,-66.459,0.45272,90.0,0.001,8.0,1.0,1.6309e-5,3.2618e-6,Marquart2020,String[],allergenic fragrances,alcohol,
Geraniol,106-24-1,Rxi17SilMS,-88.825,2.3832,10625.0,143.78,11.451,0.33807,150.5,0.032493,31.082,0.067725,95.209,2.8109,-48010.0,104.87,-67.417,0.24708,-53770.0,199.92,-82.087,0.49881,90.0,0.001,9.0,1.0,2.2404e-5,3.734e-6,Marquart2020,String[],terpene,allergenic fragrances,
Citral A,5392-40-5,Rxi17SilMS,-89.722,0.84416,10681.0,51.119,11.59,0.11966,152.75,0.009156,31.575,0.021853,96.361,0.9949,-47764.0,33.121,-66.24,0.077654,-53811.0,70.704,-81.6,0.17661,90.0,0.001,8.0,1.0,1.2087e-6,2.4174e-7,Marquart2020,String[],allergenic fragrances,,
Citral B,106-26-3,Rxi17SilMS,-93.768,1.2826,11098.0,78.482,12.121,0.18152,157.47,0.01717,31.541,0.037749,100.78,1.5092,-48881.0,58.631,-67.606,0.13593,-55680.0,117.56,-84.778,0.29097,90.0,0.001,8.0,1.0,2.7813e-6,5.5626e-7,Marquart2020,String[],allergenic fragrances,,
Cinnamaldehyde,104-55-2,Rxi17SilMS,-82.062,0.65699,10505.0,41.611,10.503,0.092476,174.33,0.012622,34.497,0.025762,87.329,0.76889,-48262.0,36.144,-61.944,0.0806,-55627.0,74.286,-80.181,0.17972,90.0,0.001,8.0,1.0,6.534e-7,1.3068e-7,Marquart2020,String[],aldehyde,allergenic fragrances,
Eugenol,97-53-0,Rxi17SilMS,-87.064,0.77875,11028.0,49.762,11.151,0.10947,178.38,0.017657,34.016,0.03231,92.712,0.91022,-49834.0,47.494,-64.459,0.10492,-58027.0,93.501,-84.653,0.22441,90.0,0.001,8.0,1.0,9.1567e-7,1.8313e-7,Marquart2020,String[],allergenic fragrances,,
Isomethyl-alpha-Ionon,127-51-5,Rxi17SilMS,-89.477,0.8259,11373.0,53.28,11.451,0.11588,184.71,0.012414,34.197,0.027015,95.213,0.96349,-50969.0,40.359,-65.413,0.087992,-59987.0,99.817,-87.478,0.24004,90.0,0.001,9.0,1.0,1.9579e-6,3.2631e-7,Marquart2020,String[],allergenic fragrances,,
Isoeugenol,97-54-1,Rxi17SilMS,-87.012,0.66669,11447.0,43.787,11.067,0.093282,193.83,0.012417,34.728,0.024446,92.015,0.77559,-52210.0,36.856,-65.894,0.078756,-61764.0,88.608,-89.034,0.21039,90.0,0.001,10.0,1.0,2.4276e-6,3.4679e-7,Marquart2020,String[],allergenic fragrances,,
Benzylbenzoate,120-51-4,Rxi17SilMS,-96.905,1.9837,13299.0,141.82,12.267,0.27382,241.68,0.044676,37.953,0.084064,101.99,2.2766,-58064.0,129.0,-66.876,0.25,-73534.0,368.77,-102.47,0.83313,90.0,0.001,10.0,1.0,1.4598e-5,2.0855e-6,Marquart2020,String[],allergenic fragrances,,
Benzylsalicylate,118-58-1,Rxi17SilMS,-95.396,1.733,13464.0,126.2,12.022,0.2385,252.8,0.039719,38.738,0.074633,99.954,1.983,-59373.0,114.74,-66.979,0.21765,-75646.0,342.75,-104.0,0.76619,90.0,0.001,10.0,1.0,1.0173e-5,1.4532e-6,Marquart2020,String[],ester,allergenic fragrances,
Benzylcinnamate,103-41-3,Rxi17SilMS,-111.42,12.716,15518.0,964.38,14.068,1.7387,278.55,0.26759,39.24,0.49935,116.97,14.456,-64493.0,823.08,-70.99,1.4886,-86548.0,2848.2,-119.91,6.227,90.0,0.001,7.0,0.99999,3.9805e-5,9.9512e-6,Marquart2020,String[],allergenic fragrances,,
Farnesol A,4602-84-0,Rxi17SilMS,-108.94,5.955,13698.0,402.29,13.933,0.82925,210.18,0.075096,33.545,0.16568,115.85,6.8948,-57903.0,286.56,-73.892,0.59201,-71825.0,876.98,-107.01,2.0583,90.0,0.001,8.0,0.99999,3.6088e-5,7.2175e-6,Marquart2020,String[],allergenic fragrances,,
Amylcinnamylalkohol A,101-85-9,Rxi17SilMS,-90.024,14.571,12533.0,988.0,11.279,2.0273,213.44,0.088686,33.608,0.26323,93.779,16.856,-58577.0,459.3,-74.473,0.94313,-70153.0,2130.9,-101.91,5.0216,90.0,0.001,7.0,0.99998,7.5434e-5,1.8858e-5,Marquart2020,String[],allergenic fragrances,,
Farnesol B,4602-84-0,Rxi17SilMS,-143.29,4.9454,15819.0,337.2,18.806,0.68763,215.35,0.069363,35.982,0.15936,156.36,5.7173,-55141.0,244.72,-66.971,0.5002,-74741.0,757.59,-113.34,1.7679,90.0,0.001,9.0,0.99999,5.2339e-5,8.7231e-6,Marquart2020,String[],allergenic fragrances,,
Amylcinnamylalkohol B,101-85-9,Rxi17SilMS,-104.28,3.9309,13443.0,270.63,13.31,0.54588,219.72,0.080638,35.293,0.14891,110.66,4.5387,-57227.0,242.19,-70.203,0.49028,-71582.0,636.93,-104.0,1.4707,90.0,0.001,8.0,1.0,1.5638e-5,3.1276e-6,Marquart2020,String[],allergenic fragrances,,
Amylcinnamylalkohol C,101-85-9,Rxi17SilMS,-88.354,10.816,12353.0,746.93,11.112,1.5007,222.74,0.15778,35.938,0.33424,92.39,12.478,-56892.0,530.36,-68.819,1.0676,-69156.0,1739.5,-97.602,4.0316,90.0,0.001,4.0,1.0,5.1167e-7,5.1167e-7,Marquart2020,String[],allergenic fragrances,,
Citronellol,106-22-9,Rxi17SilMS,-91.607,1.972,10625.0,116.95,11.872,0.28045,143.1,0.02611,30.488,0.037191,98.71,2.3318,-47251.0,57.943,-67.608,0.13865,-52493.0,136.85,-81.079,0.34731,90.0,0.001,10.0,1.0,2.9409e-5,4.2013e-6,Marquart2020,String[],allergenic fragrances,,
Hydroxycitronellal,107-75-5,Rxi17SilMS,-104.07,1.2092,11899.0,74.296,13.527,0.17099,160.17,0.015688,31.103,0.028162,112.47,1.4217,-50195.0,45.593,-69.929,0.10497,-58087.0,109.76,-89.799,0.2723,90.0,0.001,10.0,1.0,9.891e-6,1.413e-6,Marquart2020,String[],aldehyde,allergenic fragrances,
Anisalkohol,105-13-5,Rxi17SilMS,-77.506,30.045,10396.0,1897.4,9.7956,4.2295,174.13,0.32772,33.262,0.80736,81.445,35.166,-50009.0,1216.1,-65.899,2.7151,-56861.0,3199.5,-82.869,7.8153,90.0,0.001,8.0,0.99978,0.0012401,0.00024801,Marquart2020,String[],allergenic fragrances,,
Cinnamylalkohol A,104-54-1,Rxi17SilMS,-82.238,4.6284,10634.0,293.21,10.498,0.65097,177.17,0.013416,34.332,0.036542,87.288,5.4125,-49111.0,52.355,-63.15,0.11613,-56720.0,474.71,-81.929,1.1702,90.0,0.001,5.0,1.0,7.7099e-7,3.8549e-7,Marquart2020,String[],alcohol,allergenic fragrances,
Cinnamylalkohol B,104-54-1,Rxi17SilMS,-77.163,5.5912,10518.0,356.69,9.7277,0.78551,180.76,0.015141,33.763,0.055906,80.881,6.5311,-50737.0,84.08,-65.87,0.18512,-58077.0,598.67,-83.913,1.4686,90.0,0.001,5.0,1.0,1.1226e-6,5.613e-7,Marquart2020,String[],alcohol,allergenic fragrances,
