Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1,Cat_2
Methyl arachidate,-112.84,4.8062,16386.0,354.6,13.967,0.65988,262.19,0.063664,32.166,0.11104,116.13,5.4865,-74079.0,256.33,-92.47,0.47798,-94074.0,979.02,-137.54,2.1823,90.0,250.0,0.99999,0.00013308,1.2098e-5,14,FAME,saturated FAME
Methyl gamma-linolenate,-84.968,5.7521,13630.0,414.0,10.284,0.79271,247.93,0.054048,32.828,0.11028,85.502,6.591,-68769.0,231.46,-86.067,0.44356,-82272.0,1066.4,-116.94,2.4209,90.0,250.0,0.99999,0.00010977,1.0977e-5,13,FAME,
Methyl cis-11-eicosenoate,-115.04,13.117,16438.0,968.08,14.306,1.8005,263.07,0.12273,32.798,0.26398,118.95,14.97,-72891.0,587.61,-90.025,1.0945,-93477.0,2657.0,-136.38,5.9365,90.0,250.0,0.99997,0.00027714,3.9592e-5,10,FAME,
Methyl alpha linolenate,-100.95,5.172,14840.0,374.27,12.477,0.71233,250.11,0.082847,32.943,0.13331,103.74,5.9227,-69103.0,280.5,-86.155,0.53484,-85712.0,989.11,-124.05,2.2287,90.0,250.0,0.99999,0.00017708,1.6098e-5,14,FAME,
Methyl heneicosanoate,-113.24,5.9098,16767.0,441.77,13.96,0.80968,270.58,0.069132,32.218,0.12798,116.07,6.7321,-76297.0,303.69,-94.413,0.55768,-97257.0,1253.2,-141.26,2.7741,90.0,250.0,0.99999,0.00015766,1.5766e-5,13,FAME,saturated FAME
"cis-11,14-Eicosadienoic acid methyl ester",-102.48,5.817,15576.0,431.29,12.572,0.79806,265.13,0.079004,32.894,0.14274,104.53,6.6354,-73238.0,318.54,-90.151,0.59077,-91545.0,1205.1,-131.29,2.6776,90.0,250.0,0.99999,0.00012865,1.4294e-5,12,FAME,
Methyl behenate,-111.21,6.4891,16972.0,491.41,13.618,0.88726,278.61,0.082093,32.186,0.1447,113.23,7.3771,-78643.0,354.32,-96.624,0.64112,-99999.0,1436.0,-143.99,3.1519,90.0,250.0,0.99999,0.00022735,2.5261e-5,12,FAME,saturated FAME
"cis-8,11,14-Eicosatrienoic acid methyl ester",-101.81,5.9075,15461.0,438.56,12.504,0.81032,265.89,0.08267,33.318,0.14963,103.97,6.7373,-72511.0,326.4,-88.61,0.60446,-90797.0,1229.3,-129.67,2.729,90.0,250.0,0.99999,0.00011536,1.4419e-5,11,FAME,
Methyl erucate,-155.11,31.077,20096.0,2356.1,19.679,4.2482,279.54,0.36325,33.134,0.69984,163.62,35.321,-76653.0,1622.1,-92.781,2.9307,-107670.0,6889.8,-161.5,15.122,90.0,250.0,0.99978,0.0035114,0.00043892,11,FAME,
"cis-11,14,17-Eicosatrienoic acid methyl ester",-103.65,4.3108,15717.0,321.02,12.732,0.59098,268.05,0.05787,33.184,0.10297,105.86,4.9137,-73387.0,228.26,-89.692,0.42101,-92235.0,904.28,-131.93,2.0052,90.0,250.0,0.99999,0.00012243,1.2243e-5,13,FAME,
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",-93.712,4.0237,14837.0,298.71,11.403,0.55187,266.29,0.051941,33.502,0.094176,94.808,4.5885,-72220.0,203.49,-87.971,0.37657,-88933.0,834.21,-125.49,1.8545,90.0,250.0,0.99999,0.00010676,1.0676e-5,13,FAME,
Methyl tricosanoate,-119.47,5.8836,17883.0,451.43,14.703,0.80291,286.49,0.085903,32.44,0.14517,122.25,6.6757,-80274.0,360.07,-97.529,0.64226,-104300.0,1360.5,-150.4,2.9579,90.0,250.0,0.99999,0.00012543,1.5679e-5,11,FAME,saturated FAME
"cis-13,16-Docosadienoic acid methyl ester",-107.85,5.1974,16645.0,395.69,13.195,0.7101,281.68,0.074343,33.017,0.12964,109.71,5.9041,-77521.0,305.09,-93.813,0.54892,-98550.0,1172.3,-140.31,2.5621,90.0,250.0,0.99999,0.00014562,1.618e-5,12,FAME,
Methyl lignocerate,-124.28,4.077,18551.0,316.54,15.312,0.55534,294.06,0.064256,32.608,0.10265,127.31,4.6173,-82033.0,258.91,-98.718,0.45558,-108010.0,977.32,-155.49,2.1089,90.0,250.0,1.0,8.5352e-5,1.0669e-5,11,FAME,
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",-97.417,8.6613,15133.0,646.26,11.919,1.187,269.34,0.10792,33.956,0.21325,99.1,9.8695,-72060.0,453.46,-86.925,0.83462,-89833.0,1827.4,-126.7,4.0483,90.0,250.0,0.99999,8.4158e-5,1.6832e-5,8,FAME,
Methyl nervonate,-104.56,8.312,17011.0,644.92,12.636,1.132,295.09,0.074448,32.844,0.15494,105.06,9.4118,-81742.0,386.2,-97.942,0.67885,-103290.0,1968.7,-144.98,4.2684,90.0,250.0,0.99999,7.3812e-5,1.2302e-5,9,FAME,
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",-100.52,5.4653,15997.0,419.62,12.242,0.7458,286.57,0.095192,34.259,0.1595,101.79,6.2009,-76032.0,354.93,-89.932,0.63285,-96040.0,1269.8,-133.97,2.7565,90.0,250.0,0.99999,0.0001411,1.7638e-5,11,FAME,
